episode_id,arm,iteration_including_baseline,shared_baseline_attribution,rollout_executed,status,success,first_success_attempt,censored_after_attempt,actions_executed,velocity_evaluations,rollout_wall_seconds,proposal_seconds,provider_calls,cumulative_provider_calls,source_summary_sha256,input_tokens_sum,input_tokens_missing_calls,output_tokens_sum,output_tokens_missing_calls,reasoning_tokens_sum,reasoning_tokens_missing_calls,total_tokens_sum,total_tokens_missing_calls
libero_goal_ood:seed19:task0:state0,noise_language,5,False,True,budget_exhausted,False,,5,300,600,26.105493368115276,13.006328217918053,1,4,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,4770,0,500,0,157,0,5270,0
libero_goal_ood:seed19:task0:state0,noise_vision,1,True,True,budget_exhausted,False,,5,300,600,45.39830550295301,0,0,0,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task0:state0,noise_vision,2,False,True,budget_exhausted,False,,5,300,600,24.83894078200683,10.009186976123601,1,1,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3487,0,374,0,79,0,3861,0
libero_goal_ood:seed19:task0:state0,noise_vision,3,False,True,budget_exhausted,False,,5,300,600,24.69352972181514,8.356127094011754,1,2,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3880,0,424,0,86,0,4304,0
libero_goal_ood:seed19:task0:state0,noise_vision,4,False,True,budget_exhausted,False,,5,300,600,24.444768864894286,8.669637641869485,1,3,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,4299,0,378,0,33,0,4677,0
libero_goal_ood:seed19:task0:state0,noise_vision,5,False,True,budget_exhausted,False,,5,300,600,24.516832512104884,11.694912193110213,1,4,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,4732,0,495,0,119,0,5227,0
libero_goal_ood:seed19:task0:state0,language_vision,1,True,True,budget_exhausted,False,,5,300,600,45.39830550295301,0,0,0,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,0,0,0,0,0,0,0,0
libero_goal_ood:seed19:task0:state0,language_vision,2,False,True,budget_exhausted,False,,5,300,600,25.673115014098585,11.735988711938262,1,1,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3414,0,329,0,71,0,3743,0
libero_goal_ood:seed19:task0:state0,language_vision,3,False,True,budget_exhausted,False,,5,300,600,25.995374873047695,11.051750018028542,1,2,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,3740,0,339,0,61,0,4079,0
libero_goal_ood:seed19:task0:state0,language_vision,4,False,True,budget_exhausted,False,,5,300,600,25.88655687496066,11.4922675951384,1,3,90f6e719477667d0a85449bbc1094fc320632d51869a75337a7caa6b8ee35ee8,4105,0,451,0,100,0,4556,0
